Título,...2,...3,...4,...5,...6
P: ¿Hace 5 años vivía en este distrito?,,,,,
Área Geográfica,,,,,
Toda la Base de Datos,,,,,
,,,,,
,Código,Distrito,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
,120606,"Junín, Satipo, distrito: Pangoa",6486,44271,3483
,120607,"Junín, Satipo, distrito: Río Negro",5202,23789,1660
,120608,"Junín, Satipo, distrito: Río Tambo",3661,21236,1139
,120609,"Junín, Satipo, distrito: Vizcatan del Ene",511,2678,1063
,120701,"Junín, Tarma, distrito: Tarma",3815,39265,4695
,120702,"Junín, Tarma, distrito: Acobamba",695,8042,763
,120703,"Junín, Tarma, distrito: Huaricolca",167,1634,98
,120704,"Junín, Tarma, distrito: Huasahuasi",901,8671,329
,120705,"Junín, Tarma, distrito: La Unión",293,2967,254
,120706,"Junín, Tarma, distrito: Palca",455,4846,242
,120707,"Junín, Tarma, distrito: Palcamayo",267,3001,170
,120708,"Junín, Tarma, distrito: San Pedro de Cajas",243,3081,223
,120709,"Junín, Tarma, distrito: Tapo",410,3944,119
,120801,"Junín, Yauli, distrito: La Oroya",1073,11650,1298
,120802,"Junín, Yauli, distrito: Chacapalpa",65,574,48
,120803,"Junín, Yauli, distrito: Huay-Huay",121,1234,592
,120804,"Junín, Yauli, distrito: Marcapomacocha",72,642,121
,120805,"Junín, Yauli, distrito: Morococha",335,3362,1458
,120806,"Junín, Yauli, distrito: Paccha",134,1300,199
,120807,"Junín, Yauli, distrito: Santa Bárbara de Carhuacayan",69,694,341
,120808,"Junín, Yauli, distrito: Santa Rosa de Sacco",647,7342,988
,120809,"Junín, Yauli, distrito: Suitucancha",69,594,27
,120810,"Junín, Yauli, distrito: Yauli",320,3313,1708
,120901,"Junín, Chupaca, distrito: Chupaca",1691,16630,2020
,120902,"Junín, Chupaca, distrito: Ahuac",507,5327,433
,120903,"Junín, Chupaca, distrito: Chongos Bajo",342,3771,424
,120904,"Junín, Chupaca, distrito: Huachac",230,2395,323
,120905,"Junín, Chupaca, distrito: Huamancaca Chico",676,5577,2513
,120906,"Junín, Chupaca, distrito: San Juan de Iscos",185,1876,167
,120907,"Junín, Chupaca, distrito: San Juan de Jarpa",207,2414,37
,120908,"Junín, Chupaca, distrito: Tres de Diciembre",267,1702,696
,120909,"Junín, Chupaca, distrito: Yanacancha",243,2267,68
,130101,"La Libertad, Trujillo, distrito: Trujillo",21032,254645,39262
,130102,"La Libertad, Trujillo, distrito: El Porvenir",19516,150224,20721
,130103,"La Libertad, Trujillo, distrito: Florencia de Mora",3120,31056,3086
,130104,"La Libertad, Trujillo, distrito: Huanchaco",6001,47597,14811
,130105,"La Libertad, Trujillo, distrito: La Esperanza",17466,151320,20420
,130106,"La Libertad, Trujillo, distrito: Laredo",3355,31139,2712
,130107,"La Libertad, Trujillo, distrito: Moche",3429,29467,4540
,130108,"La Libertad, Trujillo, distrito: Poroto",329,3074,183
